title,genres
Ringmaster,['Comedy']
Very Bad Things,"['Comedy', 'Crime', 'Thriller']"
Psycho,"['Horror', 'Mystery', 'Thriller']"
Little Voice,"['Comedy', 'Drama']"
A Simple Plan,"['Drama', 'Crime', 'Thriller']"
Jack Frost,"['Comedy', 'Family', 'Drama', 'Fantasy']"
Star Trek: Insurrection,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
The Prince of Egypt,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']"
Rushmore,"['Comedy', 'Drama']"
Shakespeare in Love,"['Romance', 'History']"
Miracle on 34th Street,"['Drama', 'Family']"
Santa Claus: The Movie,"['Family', 'Fantasy', 'Adventure', 'Science Fiction', 'Comedy']"
Prancer,"['Drama', 'Family', 'Fantasy']"
Pale Rider,"['Romance', 'Western']"
Rambo: First Blood Part II,"['Action', 'Adventure', 'Thriller', 'War']"
First Blood,"['Action', 'Adventure', 'Thriller', 'War']"
Rambo III,"['Action', 'Adventure', 'Thriller', 'War']"
The Jewel of the Nile,"['Action', 'Adventure', 'Comedy', 'Romance']"
Romancing the Stone,"['Action', 'Adventure', 'Comedy', 'Romance']"
Cocoon,"['Comedy', 'Drama', 'Science Fiction']"
Cocoon: The Return,"['Comedy', 'Drama', 'Science Fiction']"
Rocky II,['Drama']
Rocky III,['Drama']
Rocky IV,['Drama']
Rocky V,['Drama']
Clue,"['Comedy', 'Thriller', 'Crime', 'Mystery']"
Young Sherlock Holmes,"['Action', 'Adventure', 'Crime', 'Drama', 'Family', 'Mystery', 'Thriller']"
Back to School,['Comedy']
Heartburn,"['Comedy', 'Drama', 'Romance']"
Nothing in Common,"['Drama', 'Comedy', 'Romance']"
Extremities,"['Drama', 'Thriller']"
The Karate Kid,['Drama']
"The Karate Kid, Part II","['Adventure', 'Drama', 'Action', 'Romance', 'Family']"
"The Karate Kid, Part III","['Family', 'Adventure']"
National Lampoon's Christmas Vacation,['Comedy']
You've Got Mail,"['Comedy', 'Romance']"
The General,"['Drama', 'Action', 'Crime']"
